"386","Deoxys-Attack","DNA Pokemon","psychic","","Pressure","60.8","1.7","50","180","20","180","20","150","1","Deoxys-attack","386"
"386","Deoxys-Speed","DNA Pokemon","psychic","","Pressure","60.8","1.7","50","95","90","95","90","180","1","Deoxys-speed","386"
"386","Deoxys-Defense","DNA Pokemon","psychic","","Pressure","60.8","1.7","50","70","160","70","160","90","1","Deoxys-defense","386"
"487","Giratina-Origin","Renegade Pokemon","ghost","dragon","Levitate","750","4.5","150","120","100","120","100","90","1","Giratina-origin","487"
"492","Shaymin-Sky","Gratitude Pokemon","grass","flying","Serene Grace","2.1","0.2","100","103","75","120","75","127","1","shaymin-sky","492"
"555","Darmanitan-Zen","Blazing Pokemon","fire","psychic","Zen Mode","92.9","1.3","105","30","105","140","105","55","1","Darmanitan-zen","555"
"641","Tornadus-Therian","Cyclone Pokemon","flying","","Regenerator","63","1.5","79","100","80","110","90","121","1","Tornadus-therian","641"
"642","Thundurus-Therian","Bolt Strike Pokemon","electric","flying","Volt Absorb","61","1.5","79","105","70","145","80","101","1","Thundurus-therian","642"
"645","Landorus-Therian","Abundance Pokemon","ground","flying","Intimidate","68","1.5","89","145","90","105","80","91","1","Landorus-therian","645"
"646","Kyurem-White","Boundary Pokemon","dragon","ice","Turboblaze","325","3.6","125","120","90","170","100","95","1","Kyurem-white","646"
"646","Kyurem-Black","Boundary Pokemon","dragon","ice","Teravolt","325","3.3","125","170","100","120","90","95","1","Kyurem-black","646"
"648","Meloetta-Pirouette","Melody Pokemon","normal","fighting","Serene Grace","6.5","0.6","100","128","90","77","77","128","1","Meloetta-pirouette","648"
"658","Ash-Greninja","Ninja Pokemon","water","dark","Battle Bond","40","1.5","72","145","67","153","71","132","1","Greninja-ash","658"
"681","Aegislash-Sword","Royal Sword Pokemon","steel","ghost","Stance Change","53","1.7","60","150","50","150","50","60","1","Aegislash-sword","681"
"718","Zygarde-10%","Order Pokemon","dragon","ground","Aura Break and Power Construct","33.5","1.2","54","100","71","61","85","115","1","Zygarde-10","718"
"718","Zygarde-Complete","Order Pokemon","dragon","ground","Power Construct","610","4.5","216","100","121","91","95","85","1","Zygarde-complete","718"
"720","Hoopa-Unbound","Mischief Pokemon (Confined)Djinn Pokemonn (Unbound)","psychic","dark","Magician","490","6.5","80","160","60","170","130","80","1","Hoopa-unbound","720"
"745","Lycanroc-Midnight","Wolf Pokemon","rock","","Keen Eye and Vital Spirit and No Guard","25","1.1","85","115","75","55","75","82","1","Lycanroc-midnight","745"
"745","Lycanroc-Dusk","Wolf Pokemon","rock","","Tough Claws","25","0.8","75","117","65","55","65","110","1","Lycanroc-dusk","745"
"746","Wishiwashi-Schooling","Small Fry Pokemon","water","","Schooling","78.6","8.2","45","140","130","140","135","30","1","Wishiwashi-school","746"
"774","Minior-Core","Meteor Pokemon","rock","flying","Shields Down","40","0.3","60","100","60","100","60","120","1","Minior-Core","774"
"800","Necrozma-Dusk","Prism Pokemon","psychic","steel","Prism Armor","460","3.8","97","157","127","113","109","77","1","Necrozma-dusk-mane","800"
"800","Necrozma-Dawn","Prism Pokemon","psychic","ghost","Prism Armor","350","4.2","97","113","109","157","127","77","1","Necrozma-dawn-wings","800"
